;;Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)
Bosnia and Herzegovina; Spirits;Jun 78;Jun 37;08. Mrz;08. Jul;Jun 60;Jun 67;Jul 15;Aug 32;Okt 96;Aug 60;;;;;;;;;;
Bosnia and Herzegovina; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;;;;;;;;;;
Botswana; All types;Mrz 23;Mrz 45;Mrz 28;03. Jul;Mrz 62;Mrz 47;Apr 18;Apr 96;Mrz 55;;Apr 68;Apr 56;Apr 27;Apr 50;Apr 40;Apr 38;Mrz 28;Mrz 21;Mrz 55;Mrz 58
Botswana; Beer;02. Jan;02. Dez;02. Mrz;02. Okt;02. Okt;Feb 19;03. Dez;Feb 99;02. Mrz;02. Feb;Feb 35;02. Jun;Feb 22;Feb 25;Feb 29;Jan 77;Jan 58;Jan 48;Jan 54;Jan 51
Botswana; Wine;0.28;0.23;0.31;0.19;0.25;0.39;0.23;0.97;0.31;0.23;0.16;0.40;0.20;0.31;0.19;0.95;0.31;0.25;0.29;0.19
Botswana; Spirits;0.39;0.64;0.55;0.44;0.47;0.58;0.63;0.92;0.84;0.65;0.37;0.52;0.18;0.23;0.15;0.28;0.18;0.35;0.57;0.74
Botswana; Other alcoholic beverages;Jan 83;02. Jun;02. Apr;Feb 29;Feb 45;Jan 92;Jan 55;Jan 50;Jan 95;Feb 54;Jan 75;Jan 55;Jan 66;Jan 69;Jan 72;Jan 33;Jan 18;01. Nov;Jan 15;Jan 13
Brazil; All types;Mai 94;Mai 70;Mai 89;Mai 95;Mai 86;Mai 17;Apr 92;Mai 27;Mai 50;Mai 25;Mai 52;04. Nov;Mrz 95;Apr 14;Mrz 79;Mrz 72;Mrz 62;Mrz 57;Mrz 38;Mrz 45
Brazil; Beer;Mrz 54;Mrz 30;Mrz 36;Mrz 40;Mrz 38;Feb 84;Feb 83;Feb 86;Mrz 22;Feb 96;Feb 89;Jan 78;Jan 69;Jan 74;Jan 42;Jan 40;Jan 43;Jan 41;Jan 39;Jan 37
Brazil; Wine;0.30;0.30;0.30;0.30;0.31;0.29;0.30;0.30;0.30;0.30;0.31;0.48;0.35;0.49;0.44;0.44;0.47;0.48;0.41;0.46
Brazil; Spirits;02. Dez;Feb 14;Feb 16;Feb 18;Feb 20;02. Jul;Jan 79;02. Nov;Jan 98;Jan 99;Feb 32;Jan 85;Jan 90;Jan 90;Jan 93;Jan 88;Jan 72;Jan 67;Jan 58;Jan 63
Brazil; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Brunei Darussalam; All types;0.51;0.15;0.22;0.71;0.73;0.40;0.79;No data;Feb 91;Feb 90;Feb 78;Feb 48;Feb 89;Feb 53;Mrz 31;04. Jun;03. Sep;Feb 94;Feb 59;Feb 43
Brunei Darussalam; Beer;0.18;0.12;0.18;0.19;0.22;0.34;0.42;No data;Feb 42;Feb 42;Feb 27;Jan 98;Feb 50;Feb 18;Feb 32;Feb 45;02. Nov;Jan 85;Jan 78;Jan 70
Brunei Darussalam; Wine;0.04;0.02;0.02;0.03;0.02;0.02;0.02;No data;0.10;0.10;0.15;0.12;0.15;0.10;0.51;0.94;0.43;0.50;0.18;0.13
Brunei Darussalam; Spirits;0.27;0.01;0.02;0.48;0.49;0.04;0.34;No data;0.38;0.38;0.36;0.38;0.23;0.24;0.48;0.66;0.55;0.58;0.58;0.57
Brunei Darussalam; Other alcoholic beverages;0.01;0.40;0.40;0.40;0.40;0.40;0.00;No data;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01;0.00;0.01;0.05;0.03
Bulgaria; All types;Jul 65;Jul 86;Aug 13;Sep 18;Sep 51;Sep 70;Sep 86;Okt 15;Sep 47;Nov 46;Nov 43;Nov 17;Okt 91;Nov 47;Okt 92;Nov 37;Okt 96;Nov 20;Nov 34;Okt 84
Bulgaria; Beer;Jan 99;Jan 99;Feb 31;Mrz 23;Mrz 24;Mrz 26;Mrz 49;Mrz 51;Mrz 15;Apr 20;Apr 43;Apr 26;Apr 20;04. Jul;04. Feb;04. Mai;Mrz 91;Mrz 81;Mrz 71;Mrz 68
Bulgaria; Wine;Feb 81;Feb 91;Feb 86;Feb 89;Feb 92;Feb 96;Feb 99;Mrz 13;Feb 81;Mrz 24;03. Feb;Mrz 22;Mrz 13;03. Aug;Feb 82;Mrz 28;Mrz 17;Mrz 49;Mrz 56;03. Nov
Bulgaria; Spirits;Feb 85;Feb 96;Feb 96;03. Jun;Mrz 35;Mrz 48;Mrz 38;Mrz 51;Mrz 51;04. Feb;Mrz 98;Mrz 69;Mrz 58;Apr 32;04. Aug;04. Apr;Mrz 88;Mrz 90;04. Jul;04. Mai
Bulgaria; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Burkina Faso; All types;Apr 54;Apr 25;Apr 68;05. Feb;Apr 67;Apr 66;Apr 99;Apr 86;Mrz 92;04. Mai;Mrz 99;Mrz 63;04. Jul;Mrz 70;03. Nov;Mrz 30;Mrz 40;Mrz 70;Mrz 46;Mrz 75
Burkina Faso; Beer;0.42;0.48;0.48;0.52;0.35;0.32;0.39;0.39;0.43;0.38;0.38;Mrz 61;0.38;0.35;0.30;0.32;0.32;0.32;0.32;0.35
Burkina Faso; Wine;0.04;0.02;0.02;0.02;0.02;0.01;0.00;0.01;0.00;0.01;0.01;0.01;0.01;0.02;0.00;0.02;0.03;0.03;0.04;0.03
Burkina Faso; Spirits;0.30;0.09;0.15;0.12;0.14;0.07;0.03;0.02;0.01;0.01;0.00;0.02;0.01;0.02;0.00;0.03;0.02;0.02;0.03;0.03
Burkina Faso; Other alcoholic beverages;Mrz 79;Mrz 66;04. Mrz;Apr 36;Apr 16;Apr 27;Apr 56;Apr 44;Mrz 47;Mrz 66;Mrz 60;Mrz 27;Mrz 67;Mrz 32;Feb 81;Feb 93;03. Mrz;Mrz 29;03. Jul;Mrz 34
Burundi; All types;Jun 89;Jul 39;Aug 92;Aug 28;Aug 57;Sep 47;Okt 31;Okt 61;Okt 42;Okt 26;Aug 16;Aug 19;Aug 22;Aug 35;Aug 26;Jul 43;Jul 42;Jul 99;Aug 44;08. Jan
Burundi; Beer;Jan 45;Jan 54;Jan 75;Jan 85;02. Okt;02. Sep;Jan 82;Jan 80;Jan 71;Jan 63;Feb 84;Feb 83;Feb 85;Feb 96;Feb 86;Feb 60;Feb 56;Feb 67;Feb 85;Feb 82
Burundi; Wine;0.00;0.00;0.00;0.00;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.04;0.02;0.02
Burundi; Spirits;0.00;0.00;0.01;0.00;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01
Burundi; Other alcoholic beverages;Jun 82;Jul 26;Aug 69;Jul 85;Jul 80;Aug 63;Sep 89;Okt 40;Okt 29;Okt 21;Mai 30;Mai 35;Mai 36;Mai 38;Mai 39;Apr 82;Apr 83;Mai 28;Mai 56;Mai 16
Côte d'Ivoire; All types;Apr 54;Apr 42;Apr 46;Apr 47;Apr 60;Mrz 97;Apr 26;Apr 17;Apr 36;Apr 25;Feb 20;Feb 30;Feb 49;Feb 80;03. Dez;Feb 77;03. Jul;Mrz 76;Apr 15;Apr 89
Côte d'Ivoire; Beer;01. Jun;01. Nov;01. Mai;Jan 23;Jan 28;0.82;0.97;0.85;0.87;0.94;0.33;0.34;0.34;0.36;0.37;0.33;0.39;0.38;0.42;0.55
Côte d'Ivoire; Wine;0.29;0.32;0.32;0.30;0.28;0.22;0.25;0.30;0.38;0.33;0.86;0.93;01. Jan;Jan 26;Jan 62;Jan 40;Jan 43;02. Sep;Feb 33;Jan 99
Côte d'Ivoire; Spirits;0.05;0.05;0.05;0.05;0.05;0.06;0.07;0.06;0.07;0.08;0.08;0.08;0.17;0.18;0.10;0.11;0.15;0.21;0.22;0.81
Côte d'Ivoire; Other alcoholic beverages;Mrz 14;Feb 94;03. Mai;Feb 88;Feb 98;Feb 87;Feb 98;Feb 96;03. Mrz;Feb 89;0.93;0.94;0.97;1.00;01. Mrz;0.92;01. Sep;01. Aug;Jan 18;Jan 54
Cabo Verde; All types;4.00;Mrz 69;Mrz 47;Apr 16;Mrz 82;Apr 44;Apr 66;Mrz 80;Mrz 20;Feb 68;Feb 78;Mrz 31;Mrz 36;Feb 92;Feb 50;Feb 62;02. Nov;Jan 91;Feb 15;02. Apr
Cabo Verde; Beer;Feb 17;Jan 58;Jan 31;Jan 47;0.85;Jan 32;0.58;0.69;0.97;0.89;0.54;0.64;0.77;0.74;0.65;0.67;0.60;0.55;0.57;0.58
Cabo Verde; Wine;Jan 39;Jan 74;Jan 82;Feb 17;Feb 53;Feb 79;Mrz 58;Feb 72;Jan 88;Jan 36;Jan 69;Feb 24;Feb 13;Jan 74;Jan 39;Jan 61;01. Aug;0.98;0.96;0.94
Cabo Verde; Spirits;0.43;0.38;0.34;0.52;0.44;0.34;0.51;0.39;0.34;0.43;0.56;0.43;0.46;0.44;0.46;0.34;0.42;0.38;0.63;0.52
Cabo Verde; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;0.00
Cambodia; All types;Jan 91;Jan 95;Jan 78;Jan 57;01. Feb;Jan 29;0.25;0.25;0.22;0.40;0.33;0.17;0.22;0.22;0.25;0.30;0.51;0.42;;
Cambodia; Beer;0.23;0.20;0.20;0.11;0.21;0.23;0.07;0.06;0.02;0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;
Cambodia; Wine;0.01;0.00;0.01;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;
Cambodia; Spirits;Jan 67;Jan 75;Jan 57;Jan 43;0.81;01. Jun;0.18;0.18;0.21;0.38;0.33;0.17;0.22;0.22;0.25;0.30;0.51;0.42;;
Cambodia; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;;
Cameroon; All types;Feb 30;Feb 97;Feb 47;Feb 47;03. Mai;03. Nov;03. Aug;Mrz 24;Mrz 91;Mai 90;Jun 36;Jun 31;Jun 50;Jun 50;Jun 21;Mai 97;Jun 27;Jun 51;06. Jul;Jun 33
Cameroon; Beer;01. Jan;Jan 40;0.90;0.95;Jan 50;Jan 57;Jan 60;Jan 78;Feb 37;Jan 84;02. Nov;Feb 20;Feb 39;Feb 45;Feb 50;Feb 33;Feb 36;Feb 28;Jan 99;Jan 74
Cameroon; Wine;0.08;0.10;0.09;0.05;0.06;0.05;0.07;0.11;0.03;0.11;0.13;0.14;0.12;0.08;0.09;0.08;0.09;0.13;0.04;0.07
Cameroon; Spirits;0.00;0.01;0.01;0.00;0.01;0.01;0.01;0.01;0.00;0.01;0.04;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.00;0.02
Cameroon; Other alcoholic beverages;Jan 21;Jan 46;Jan 47;Jan 47;Jan 47;Jan 47;Jan 40;Jan 34;Jan 51;Mrz 93;04. Aug;Mrz 95;Mrz 97;Mrz 96;Mrz 61;Mrz 55;Mrz 82;04. Aug;04. Apr;Apr 50
Canada; All types;Jul 50;Jul 30;Jul 20;Jul 40;Jul 30;Jul 50;Jul 50;08. Feb;Aug 28;Aug 77;Sep 14;Sep 39;Sep 28;Sep 41;Sep 55;Sep 68;10. Jun;Okt 32;Okt 33;Okt 32
Canada; Beer;Apr 30;Apr 20;Apr 24;Apr 33;Apr 34;Apr 40;Apr 38;Apr 43;Apr 58;Apr 71;Apr 82;Apr 91;Apr 83;Apr 87;Apr 94;5.00;05. Jan;05. Dez;05. Aug;Mai 21
Canada; Wine;Jan 20;Jan 20;Jan 18;Jan 14;01. Nov;01. Okt;01. Dez;01. Nov;Jan 14;Jan 21;Jan 27;Jan 34;Jan 30;Jan 33;Jan 29;Jan 24;Jan 24;Jan 22;Jan 18;01. Nov
Canada; Spirits;2.00;Jan 90;Jan 90;Jan 90;Jan 90;2.00;2.00;Feb 36;Feb 55;Feb 74;Feb 91;3.00;Feb 99;03. Nov;Mrz 21;Mrz 35;Mrz 67;Mrz 91;04. Feb;Mrz 86
Canada; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Central African Republic; All types;Jan 54;Jan 68;Jan 58;Jan 74;Jan 93;02. Apr;Feb 28;02. Jun;02. Dez;;Feb 52;Feb 51;Feb 78;Feb 94;Feb 80;Feb 50;Feb 48;Feb 85;Feb 60;Feb 83
Central African Republic; Beer;0.21;0.37;0.29;0.24;0.51;0.57;0.89;0.67;0.68;0.53;Jan 15;Jan 15;Jan 37;Jan 41;Jan 21;0.87;1.00;01. Jan;01. Aug;Jan 31
Central African Republic; Wine;0.02;0.03;0.03;0.03;0.13;0.06;0.05;0.07;0.11;0.14;0.17;0.20;0.22;0.36;0.43;0.46;0.30;0.74;0.43;0.36
Central African Republic; Spirits;0.03;0.02;0.02;0.03;0.03;0.03;0.02;0.02;0.03;0.03;0.03;0.02;0.04;0.03;0.03;0.02;0.03;0.07;0.04;0.07
Central African Republic; Other alcoholic beverages;Jan 28;Jan 26;Jan 23;Jan 45;Jan 26;Jan 38;Jan 31;Jan 30;Jan 29;Jan 13;Jan 17;Jan 14;Jan 15;Jan 14;Jan 13;Jan 15;Jan 15;01. Mrz;01. Mai;01. Sep
Chad; All types;0.22;0.26;0.34;0.50;0.19;0.32;0.30;0.40;0.46;0.39;0.29;0.29;0.29;0.32;0.39;0.34;0.28;0.32;0.33;0.30
Chad; Beer;0.11;0.13;0.17;0.25;0.10;0.16;0.15;0.20;0.23;0.19;0.28;0.26;0.27;0.29;0.34;0.29;0.28;0.31;0.32;0.29
Chad; Wine;0.10;0.12;0.16;0.25;0.09;0.15;0.14;0.19;0.21;0.18;0.01;0.01;0.02;0.02;0.05;0.04;0.00;0.01;0.01;0.01
Chad; Spirits;0.01;0.01;0.01;0.00;0.00;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.00;0.00;0.00;0.00
Chad; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Chile; All types;Jul 61;Jul 25;Jun 57;Jul 43;Aug 34;Jul 73;Jul 67;Jul 82;Jul 99;Aug 61;Aug 65;Sep 52;Sep 49;Aug 93;Sep 72;10. Apr;Sep 98;Dez 64;Sep 74;Okt 22
Chile; Beer;Feb 21;Jan 88;Jan 96;Feb 39;Feb 37;Jan 80;Jan 89;Jan 71;Jan 60;Jan 65;Jan 63;Jan 57;Jan 49;Jan 20;Jan 17;01. Sep;01. Okt;Jan 21;Jan 33;Jan 27
Chile; Wine;Feb 81;Feb 78;02. Feb;Feb 45;Mrz 38;Mrz 34;Mrz 19;Mrz 52;Mrz 80;Apr 37;Apr 43;Mai 36;Mai 41;Mai 14;Mai 96;Jun 36;Jun 29;Aug 84;07. Aug;Jul 62
Chile; Spirits;Feb 59;Feb 59;Feb 59;Feb 59;Feb 59;Feb 59;Feb 59;Feb 59;Feb 59;Feb 59;Feb 59;Feb 59;Feb 59;Feb 59;Feb 59;Feb 59;Feb 59;Feb 59;Jan 33;Jan 33
Chile; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
China; All types;Mai 13;Apr 98;05. Apr;05. Aug;Apr 80;Apr 32;Apr 13;Mrz 75;Mrz 68;Mrz 35;Mrz 33;Mrz 34;Mrz 16;Feb 46;02. Feb;Feb 28;Jan 96;Feb 26;02. Apr;Jan 70
China; Beer;1.00;0.83;0.92;0.96;0.78;0.70;0.63;0.52;0.44;0.37;0.35;0.37;0.31;0.24;0.19;0.14;0.10;0.08;0.06;0.05
China; Wine;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.03;0.03;0.02;0.02;0.02
China; Spirits;04. Mai;04. Jul;04. Sep;04. Dez;Mrz 99;Mrz 59;Mrz 47;Mrz 20;Mrz 21;Feb 94;Feb 95;Feb 95;Feb 82;02. Dez;Jan 84;Feb 19;Feb 15;Jan 96;Jan 81;Jan 64
China; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Colombia; All types;Jun 29;Jun 55;Jun 45;Jun 69;Jun 96;Jun 83;Jun 66;Jun 18;Jul 29;07. Jan;Jun 96;Jul 18;Jun 81;Jun 61;Jun 33;Jun 18;Jun 33;Jun 16;Jun 29;Jun 21
Colombia; Beer;Mrz 70;Mrz 95;Mrz 99;Apr 22;Apr 33;Apr 34;Apr 32;Mrz 84;Apr 92;Apr 61;Apr 40;Apr 58;Apr 36;Apr 27;04. Dez;Mrz 99;04. Nov;Mrz 73;Mrz 82;Mrz 68
Colombia; Wine;0.07;0.07;0.07;0.07;0.08;0.08;0.08;0.08;0.10;0.12;0.12;0.14;0.14;0.15;0.16;0.12;0.12;0.14;0.15;0.17
Colombia; Spirits;Feb 52;Feb 53;Feb 39;Feb 40;Feb 55;Feb 41;Feb 26;Feb 26;Feb 27;Feb 28;Feb 44;Feb 46;Feb 32;Feb 19;02. Mai;02. Jul;02. Okt;Feb 29;Feb 32;Feb 35
Colombia; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Comoros; All types;0.07;0.07;0.10;0.06;0.11;0.10;0.12;0.12;0.15;;0.11;0.08;0.08;0.16;0.38;0.50;0.06;0.16;0.19;0.06
Comoros; Beer;0.02;0.02;0.03;0.01;0.02;0.01;0.01;0.01;0.01;;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.05;0.04;0.02
Comoros; Wine;0.04;0.04;0.04;0.03;0.06;0.08;0.10;0.10;0.12;0.17;0.09;0.05;0.05;0.13;0.05;0.11;0.05;0.05;0.05;0.04
Comoros; Spirits;0.02;0.01;0.03;0.02;0.03;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.30;0.38;0.00;0.03;0.06;0.00
Comoros; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Congo; All types;02. Jul;Jan 88;Jan 73;02. Nov;02. Feb;02. Mai;Feb 87;Feb 83;Feb 79;Feb 45;03. Mrz;Mrz 82;Apr 15;05. Sep;Mai 45;Mai 92;Mai 52;Apr 74;Apr 42;Mrz 84
Congo; Beer;Jan 38;Jan 42;01. Apr;Jan 56;Jan 59;Jan 77;Feb 55;Feb 46;Feb 47;02. Okt;Jan 91;02. Nov;Feb 34;Feb 33;Feb 67;Feb 26;Feb 15;02. Jul;Feb 16;02. Sep
Congo; Wine;0.18;0.28;0.31;0.26;0.32;0.25;0.29;0.30;0.24;0.30;0.00;0.00;0.01;0.00;0.01;0.01;0.01;0.01;0.01;0.01
Congo; Spirits;0.52;0.18;0.38;0.29;0.11;0.04;0.03;0.07;0.08;0.05;0.13;0.20;0.20;0.32;0.26;0.27;0.25;0.29;0.16;0.20
Congo; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;01. Nov;Jan 60;Feb 21;Feb 75;Feb 76;Mrz 65;Mrz 36;Jan 34;Feb 25;Jan 75
Cook Islands; All types;01. Apr;Jan 64;Mrz 31;Feb 21;02. Aug;Feb 61;Feb 29;Mrz 73;Mrz 23;06. Mai;;;;;;;;;;
Cook Islands; Beer;0.00;0.00;0.00;0.00;0.00;0.44;0.00;01. Nov;01. Mai;Feb 76;;;;;;;;;;
Cook Islands; Wine;0.58;0.52;0.50;0.64;0.53;0.63;0.74;01. Jun;0.61;0.84;;;;;;;;;;
Cook Islands; Spirits;0.46;01. Dez;Feb 81;Jan 57;Jan 55;Jan 54;Jan 55;Jan 56;Jan 57;Feb 45;;;;;;;;;;
Cook Islands; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;;;;;;;;;;
Costa Rica; All types;Mai 42;Mai 59;Mai 62;Mai 59;Mai 91;06. Jul;Mai 64;Mai 57;06. Okt;06. Sep;Mai 40;Mai 51;Apr 23;Apr 86;05. Apr;Apr 87;Apr 51;Apr 65;Apr 62;Apr 63
Costa Rica; Beer;0.85;0.88;0.89;0.91;0.94;0.97;0.84;0.79;01. Jul;0.93;0.79;0.89;0.83;0.85;0.56;0.58;0.56;0.56;0.61;0.61
Costa Rica; Wine;0.18;0.16;0.16;0.12;0.11;0.13;0.05;0.06;0.09;0.11;0.10;0.09;0.08;0.07;0.05;0.06;0.05;0.04;0.06;0.11
Costa Rica; Spirits;Apr 39;Apr 54;Apr 56;Apr 55;Apr 83;Apr 95;Apr 74;Apr 72;Apr 93;05. Apr;Apr 51;Apr 52;Mrz 30;Mrz 94;Apr 42;Apr 22;Mrz 90;04. Mai;Mrz 97;Mrz 91
Costa Rica; Other alcoholic beverages;0.01;0.01;0.01;0.00;0.02;0.02;0.00;0.00;0.01;0.01;0.00;0.01;0.02;0.00;0.01;0.01;0.00;0.00;0.00;0.00
Croatia; All types;Dez 15;13.84;13.21;11. Okt;Okt 91;Nov 61;Nov 26;Nov 47;13.69;15.90;Okt 92;11. Jul;13.51;;;;;;;
Croatia; Beer;Apr 56;Apr 38;Apr 42;04. Okt;Apr 15;04. Sep;Mrz 29;Mrz 49;Mrz 17;Mrz 90;Feb 87;Mrz 13;Mrz 27;;;;;;;
Croatia; Wine;Jun 57;Jun 78;Jun 81;Mai 40;Apr 95;Mai 30;6.00;Jun 30;Jun 13;Jul 60;05. Okt;05. Mrz;Jun 58;;;;;;;
Croatia; Spirits;01. Feb;Feb 68;Jan 98;Jan 60;Jan 81;Feb 22;Jan 97;Jan 68;Apr 39;Apr 40;Feb 95;Feb 91;Mrz 66;;;;;;;
Croatia; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;
Cuba; All types;Mrz 97;Mrz 71;Mrz 39;Mrz 45;Mrz 59;Mrz 84;Feb 91;Mrz 75;Mrz 54;Mrz 98;Apr 37;Apr 45;Apr 37;04. Apr;Mrz 96;Mrz 75;Mrz 66;Mrz 59;Feb 96;03. Jan
Cuba; Beer;Jan 16;Jan 14;0.86;0.93;0.83;0.75;0.81;Jan 14;0.71;Jan 23;Jan 87;Jan 89;Jan 92;Jan 75;Jan 67;Jan 63;Jan 65;Jan 58;Jan 50;Jan 61
Cuba; Wine;0.23;0.03;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.04;0.05;0.06;0.06;0.04;0.07;0.06;0.06;0.06;0.07;0.05
Cuba; Spirits;Feb 57;Feb 54;Feb 50;Feb 51;Feb 75;03. Sep;02. Sep;Feb 60;Feb 81;Feb 70;Feb 45;Feb 50;Feb 39;Feb 25;Feb 22;02. Jun;Jan 95;Jan 94;Jan 39;Jan 34
Cuba; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Cyprus; All types;Aug 93;Aug 68;Aug 33;Aug 49;Sep 47;Sep 53;Sep 41;Okt 38;Sep 16;Sep 46;Sep 29;Sep 61;Aug 88;Aug 33;Jul 93;Jul 61;Jul 46;Jun 99;Jun 71;Jun 28
Cyprus; Beer;Mrz 57;Mrz 44;Mrz 28;Mrz 30;Mrz 57;Mrz 80;Mrz 65;04. Mrz;Mrz 61;Mrz 80;Mrz 62;Mrz 39;Mrz 13;Feb 96;Feb 81;Feb 65;Feb 62;Feb 43;Feb 31;Feb 16
Cyprus; Wine;Feb 32;02. Mrz;02. Mai;Feb 14;Feb 28;Feb 21;02. Aug;Feb 26;Jan 89;Feb 15;Feb 18;Feb 20;02. Dez;Jan 90;Jan 91;Jan 89;Jan 77;Jan 77;Jan 61;Jan 48
Cyprus; Spirits;03. Apr;Mrz 21;3.00;03. Apr;Mrz 62;Mrz 52;Mrz 68;04. Sep;Mrz 66;Mrz 51;Mrz 49;04. Feb;Mrz 62;Mrz 46;Mrz 21;03. Jul;03. Jun;Feb 79;Feb 79;Feb 64
Cyprus; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Czechia; All types;14.39;14.26;14.35;13.95;13.72;13.82;13.74;14.28;13.52;Dez 98;13. Jan;Dez 84;13.20;13. Jan;14.24;14.29;14.14;14. Dez;14.23;13.99
Czechia; Beer;Jul 78;Jul 78;Jul 85;Jul 68;Jul 71;Jul 76;Jul 65;Aug 19;Jul 42;Jun 71;Jun 75;Jun 71;Jun 93;Jun 82;Jul 33;Jul 75;Jul 68;Jul 34;Jul 22;Jul 16
Czechia; Wine;Feb 16;Feb 13;Feb 13;02. Dez;02. Aug;02. Okt;02. Okt;02. Jul;02. Jun;02. Jul;Jan 95;Jan 85;Jan 96;Jan 76;Feb 30;Feb 24;02. Nov;02. Nov;Feb 30;Feb 23
Czechia; Spirits;Apr 45;Apr 35;Apr 37;Apr 15;Mrz 93;Mrz 96;Mrz 99;04. Feb;04. Apr;Apr 20;Apr 31;Apr 28;Apr 31;Apr 43;Apr 61;Apr 30;Apr 35;Apr 67;Apr 71;Apr 60
Czechia; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Democratic People's Republic of Korea; All types;Mai 93;Mai 99;Mai 57;Mai 66;Mrz 87;Mrz 70;Mrz 83;Mrz 73;Mrz 74;Mrz 72;Mrz 68;Mrz 66;Mrz 59;Mrz 51;Mrz 47;Mrz 33;03. Jan;Feb 76;Feb 80;Feb 64
